event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	whole_plant_owner	owner_status	owner_confidence	exact_literal_card_formal_exemplar_layer	v69_support_class	concrete_german_meaning_in_context	meaning_in_context_confidence	strongest_alternative	strongest_contradiction	unsupported_nouns	image_geometry_guard	terminal_status	semantic_ceiling
63	H4	f55v	f55v.5	F011	H4-S002	e026af581c99322fbd46	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:e026af581c99322fbd46] > [CONTEXT_EXEMPLAR:STORAGE_AND_CLOSE] > [CLOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Verwahre den klaren Auszug; damit endet der Posten.	0.40	Technischer Pflanzenmaterial-Rivale: Rest pressen, Flüssigkeit seihen und beide Fraktionen schließen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorratsgefäß.	Vorratsgefäß	one broad-leaf plant with branched crown and mnemonic asymmetric root	TERMINAL	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
64	H4	f55v	f55v.11	F012	H4-S003	f7dc90b2c31fd341f0a4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:f7dc90b2c31fd341f0a4] > [CONTEXT_EXEMPLAR:INDICATION_AND_USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Wasche damit eine unreine äußere Wunde.	0.18	Technischer Pflanzenmaterial-Rivale: zweite Blattfraktion dem lokalen Posten eröffnen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wunde.	Wunde	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
65	H4	f55v	f55v.11	F012	H4-S003	807591efc3d3f7ddbfab	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:807591efc3d3f7ddbfab] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Verwende dazu den klaren Auszug.	0.29	Technischer Pflanzenmaterial-Rivale: zweite Fraktion mit frischem Wasser waschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	Auszug	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
66	H4	f55v	f55v.11	F012	H4-S003	2c1a5fd92b9e3c762242	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:2c1a5fd92b9e3c762242] > [CONTEXT_EXEMPLAR:FREQUENCY]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Einmal oder nach örtlicher Vorschrift.	0.27	Technischer Pflanzenmaterial-Rivale: Fraktion warm mazerieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Anwendungshäufigkeit.	Anwendungshäufigkeit	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
67	H4	f55v	f55v.11	F012	H4-S003	1b1ffdd869fb1429ad03	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:1b1ffdd869fb1429ad03] > [CONTEXT_EXEMPLAR:FORMAL_CLOSE] > [CLOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Beende diesen Gebrauch.	0.40	Technischer Pflanzenmaterial-Rivale: zweite Blattflotte dem lokalen Posten seihen und schließen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsabschluss.	Gebrauchsabschluss	one broad-leaf plant with branched crown and mnemonic asymmetric root	TERMINAL	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
68	H4	f55v	f55v.11	F013	H4-S004	2f1c5e56e8f0ff459065	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_DOSE]	EXACT_WORKING_MNEMONIC	Nimm ein örtliches Maß der zurückbehaltenen Blätter.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge der zweiten Flotte buchen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Blätter; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Blätter|Dosis	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
69	H4	f55v	f55v.11	F013	H4-S004	308e8ea2d5d190c498e8	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:308e8ea2d5d190c498e8] > [FORMAL:LOKALEN_RELATIONSSLOT_SETZEN] > [CONTEXT_EXEMPLAR:TARGET]	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	Lege sie an die bezeichnete äußere Stelle.	0.46	Technischer Pflanzenmaterial-Rivale: opaken Relationsslot für Fraktionspaar und Lagergefäß setzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind äußere Zielstelle.	äußere Zielstelle	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
70	H4	f55v	f55v.11	F013	H4-S004	204b04837409088c48f9	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:204b04837409088c48f9] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Erwärme sie gelinde.	0.30	Technischer Pflanzenmaterial-Rivale: erste und zweite Flotte nebeneinander prüfen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	Wärme	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
71	H4	f55v	f55v.11	F013	H4-S004	7a4bb8136330ee4e6e56	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	EXACT_WORKING_MNEMONIC	Führe sie als zweiten Ansatz.	0.46	Technischer Pflanzenmaterial-Rivale: zweite Flotte als aktiven Ansatz dem lokalen Posten führen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	Arbeitsansatz	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
72	H4	f55v	f55v.11	F013	H4-S004	b921a237be883a820352	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:MEDIUM]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Mische sie mit Honig.	0.24	Technischer Pflanzenmaterial-Rivale: Presskuchen und Flotten als Paarposten etikettieren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Honig.	Honig	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
73	H4	f55v	f55v.11	F013	H4-S004	6afeb5c9ab9f6cbdea0d	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	PAGE_OWNER_ONLY	0.81	[OWNER:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT] > [OPAQUE_CARD:6afeb5c9ab9f6cbdea0d] > [CONTEXT_EXEMPLAR:USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Lege den warmen Umschlag frisch auf.	0.25	Technischer Pflanzenmaterial-Rivale: Paarposten dem lokalen Posten bedeckt lagern.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Umschlag.	Umschlag	one broad-leaf plant with branched crown and mnemonic asymmetric root	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
74	H5	f56r	f56r.5	F014	H5-S001	b9d7b6d68209a9019e7a	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:b9d7b6d68209a9019e7a] > [CONTEXT_EXEMPLAR:VISIBLE_OWNER]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Von der abgebildeten, unbenannten Pflanze.	0.50	Technischer Pflanzenmaterial-Rivale: Bildbesitzer H5 als drüsiges Feuchtland-Rohlos dem lokalen Posten eröffnen.	Die ganze Pflanze ist sichtbar, aber weder ihr Artname noch der konkrete Wert der opaken Karte ist daraus ableitbar.	NONE	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
75	H5	f56r	f56r.5	F014	H5-S001	2cc054357a929df85f64	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:2cc054357a929df85f64] > [CONTEXT_EXEMPLAR:HARVEST_AND_HABITAT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Sammle das ganze oberirdische Kraut an einem feuchten Standort.	0.28	Technischer Pflanzenmaterial-Rivale: kleine Gesamtpflanzenprobe sammeln.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an oberirdisches Kraut; Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind feuchter Standort.	oberirdisches Kraut|feuchter Standort	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
76	H5	f56r	f56r.5	F014	H5-S001	0ec6a45e2950e8e7061d	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:0ec6a45e2950e8e7061d] > [CONTEXT_EXEMPLAR:HARVEST_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm es zu Beginn der Blüte.	0.30	Technischer Pflanzenmaterial-Rivale: feine Wurzel- und Krautfraktion trennen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Blütezeit.	Blütezeit	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
77	H5	f56r	f56r.5	F014	H5-S001	2f1c5e56e8f0ff459065	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	Nimm nur ein kleines örtliches Maß.	0.46	Technischer Pflanzenmaterial-Rivale: Sollmenge der Krautfraktion buchen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	Dosis	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
78	H5	f56r	f56r.7	F015	H5-S001	2cc054357a929df85f64	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:2cc054357a929df85f64] > [CONTEXT_EXEMPLAR:PLANT_PART_AND_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Zerstoße die frischen klebrigen Blätter.	0.34	Technischer Pflanzenmaterial-Rivale: Krautfraktion in wenig Wasser einweichen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an klebrige Blätter.	klebrige Blätter	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
79	H5	f56r	f56r.7	F015	H5-S001	893c570f3fa3fce99711	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:893c570f3fa3fce99711] > [CONTEXT_EXEMPLAR:USE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Lege sie als Auflage auf.	0.25	Technischer Pflanzenmaterial-Rivale: weiches Material quetschen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auflage.	Auflage	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
80	H5	f56r	f56r.7	F015	H5-S001	10488b911aae52b3b334	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:10488b911aae52b3b334] > [CONTEXT_EXEMPLAR:INDICATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Auf eine einzelne Warze oder ein Hühnerauge.	0.18	Technischer Pflanzenmaterial-Rivale: klebrige Flüssigkeit als Prüfcharge dem lokalen Posten auffangen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Warze, Hühnerauge.	Warze|Hühnerauge	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
81	H5	f56r	f56r.7	F015	H5-S001	276a7c2d74d1143446f4	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [CARD:ANWENDEN?] > [CONTEXT_EXEMPLAR:USE_DURATION]	EXACT_WORKING_MNEMONIC	Lass die Auflage nur kurz einwirken.	0.46	Technischer Pflanzenmaterial-Rivale: aktive Prüfcharge dem lokalen Posten auf Prüffläche dem lokalen Posten einsetzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Einwirkdauer.	Einwirkdauer	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
82	H5	f56r	f56r.7	F015	H5-S001	dd0ecaf5e27d81befffc	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:dd0ecaf5e27d81befffc] > [CARD:ZIEL?] > [CONTEXT_EXEMPLAR:TARGET]	EXACT_WORKING_MNEMONIC	An der örtlich bezeichneten Hautstelle.	0.46	Technischer Pflanzenmaterial-Rivale: Zieladresse dem lokalen Posten nach dem Auftrag im Register festhalten.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Hautstelle.	Hautstelle	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
83	H5	f56r	f56r.8	F016	H5-S002	d665560c8ff80799a82c	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:d665560c8ff80799a82c] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm die Auflage wieder ab.	0.32	Technischer Pflanzenmaterial-Rivale: dem lokalen Posten als aktive Charge wieder aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auflage.	Auflage	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
84	H5	f56r	f56r.8	F016	H5-S002	c10aec6d4dd877ec8bd8	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:c10aec6d4dd877ec8bd8] > [CONTEXT_EXEMPLAR:MEDIUM_ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Wasche die Stelle mit Wasser.	0.25	Technischer Pflanzenmaterial-Rivale: zweite Prüffläche dem lokalen Posten bereitstellen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wasser.	Wasser	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
85	H5	f56r	f56r.8	F016	H5-S002	276a7c2d74d1143446f4	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:276a7c2d74d1143446f4] > [CARD:ANWENDEN?] > [CONTEXT_EXEMPLAR:CONDITION_AND_USE]	EXACT_WORKING_MNEMONIC	Wiederhole den Gebrauch nur, wenn er vertragen wird.	0.46	Technischer Pflanzenmaterial-Rivale: aktive Charge auf dem lokalen Posten einsetzen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Verträglichkeit, Wiederholung.	Verträglichkeit|Wiederholung	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
86	H5	f56r	f56r.8	F016	H5-S002	95987d6f198d6d247511	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:95987d6f198d6d247511] > [CONTEXT_EXEMPLAR:FORMAL_CLOSE] > [CLOSE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Beende die äußere Anwendung.	0.40	Technischer Pflanzenmaterial-Rivale: beschichtete Prüffläche lufttrocknen lassen und schließen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind äußere Anwendung.	äußere Anwendung	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	TERMINAL	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
87	H5	f56r	f56r.12	F017	H5-S003	ad3581d3144f69a5912d	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:ad3581d3144f69a5912d] > [CONTEXT_EXEMPLAR:PLANT_PART]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm vom übrigen Kraut die blühenden Stiele.	0.36	Technischer Pflanzenmaterial-Rivale: Kopf- oder Knospenfraktion dem lokalen Posten eröffnen.	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an blühende Stiele.	blühende Stiele	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
88	H5	f56r	f56r.12	F017	H5-S003	2cc054357a929df85f64	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:2cc054357a929df85f64] > [CONTEXT_EXEMPLAR:STORAGE_CONDITION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Trockne sie im Schatten.	0.27	Technischer Pflanzenmaterial-Rivale: schmale Blattfraktion dem lokalen Posten getrennt einführen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Schatten.	Schatten	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
89	H5	f56r	f56r.12	F017	H5-S003	b74e9e65637b7c8538dd	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:b74e9e65637b7c8538dd] > [CONTEXT_EXEMPLAR:ACTION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Zerreibe sie grob.	0.32	Technischer Pflanzenmaterial-Rivale: beide Fraktionen mit Loszeichen versehen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Zerreibung.	Zerreibung	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
90	H5	f56r	f56r.12	F017	H5-S003	1322bc176443fc2a8a86	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:1322bc176443fc2a8a86] > [CONTEXT_EXEMPLAR:STORAGE]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Verwahre sie trocken.	0.28	Technischer Pflanzenmaterial-Rivale: beide im Schatten trocknen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorrat.	Vorrat	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
91	H5	f56r	f56r.13	F018	H5-S004	9ad66e67803a12e745de	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:9ad66e67803a12e745de] > [CONTEXT_EXEMPLAR:PREPARATION]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Setze daraus einen schwachen Auszug an.	0.29	Technischer Pflanzenmaterial-Rivale: getrocknete Blattfraktion dem lokalen Posten wieder aufnehmen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Auszug.	Auszug	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
92	H5	f56r	f56r.13	F018	H5-S004	087a47b5423438cd6b6a	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:087a47b5423438cd6b6a] > [CONTEXT_EXEMPLAR:MEDIUM]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Nimm milden Wein als Medium.	0.24	Technischer Pflanzenmaterial-Rivale: Lagerfach dem lokalen Posten zuweisen.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wein.	Wein	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
93	H5	f56r	f56r.13	F018	H5-S004	75a523fcf039b006f97b	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	PAGE_OWNER_ONLY	0.70	[OWNER:WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB] > [OPAQUE_CARD:75a523fcf039b006f97b] > [CONTEXT_EXEMPLAR:ACTION_IMPLEMENT]	UNKNOWN_EXEMPLAR_WHOLE_CARD	Seihe ihn durch ein Tuch.	0.28	Technischer Pflanzenmaterial-Rivale: Fraktion trocken im Lagerfach verwahren.	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Tuch.	Tuch	one highly schematic multihead plant with a large spiral or radial organ; no depicted water	NONCLOSE	OCCURRENCE_CONTEXT_EXEMPLAR_NOT_CARD_WORD_STEM_SOUND_OR_SPECIES
