event_serial	statement_id	record_unit_id	page	visible_surface	master_card_id	atomic_card_value_de	product_or_job	complete_workshop_expansion_de	visible_owner	terminal_status
195	B2-S010	B2	f82r	qoky	MC026	einsetzen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken — einsetzen — Auslass — Klarauszug.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
196	B2-S010	B2	f82r	ls	MC065	Auslass	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken — einsetzen — Auslass — Klarauszug.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
197	B2-S010	B2	f82r	cheey	MC119	Klarauszug	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken — einsetzen — Auslass — Klarauszug.	mittlere linke Geräte-/Inline-Knotenstation	NONCLOSE
198	B2-S011	B2	f82r	okain	MC017	Anteil zugeben	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss.	ungelöste mittlere rechte Linie-/Liegepodeststation	NONCLOSE
199	B2-S011	B2	f82r	char	MC055	davon	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss.	ungelöste mittlere rechte Linie-/Liegepodeststation	NONCLOSE
200	B2-S011	B2	f82r	okain	MC017	Anteil zugeben	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss.	ungelöste mittlere rechte Linie-/Liegepodeststation	NONCLOSE
201	B2-S011	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »ungelöste mittlere rechte Linie-/Liegepodeststation«: Anteil zugeben — davon — Anteil zugeben — lange einwirken; Schluss.	ungelöste mittlere rechte Linie-/Liegepodeststation	TERMINAL
202	B2-S012	B2	f82r	lchy	MC008	Abführgut	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	ungelöste mittlere rechte Linie-/Liegepodeststation	NONCLOSE
203	B2-S012	B2	f82r	cheey	MC119	Klarauszug	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
204	B2-S012	B2	f82r	qcthey	MC073	kurz vorbereiten	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
205	B2-S012	B2	f82r	qokeey	MC002	lange einwirken	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
206	B2-S012	B2	f82r	lcheey	MC066	Klarabzug	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
207	B2-S012	B2	f82r	daiin	MC039	Sollmaß	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
208	B2-S012	B2	f82r	chey	MC123	dies	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	NONCLOSE
209	B2-S012	B2	f82r	qokeeedy	MC140	Volleinsatz; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführgut — Klarauszug — kurz vorbereiten — lange einwirken — Klarabzug — Sollmaß — dies — Volleinsatz; Schluss.	unteres grünes Mehrfigurenfeld	TERMINAL
210	B2-S013	B2	f82r	lchedy	MC155	abführen; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: abführen; Schluss.	unteres grünes Mehrfigurenfeld	TERMINAL
211	B2-S014	B2	f82r	lar	MC029	Quellabzug	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Quellabzug.	unteres grünes Mehrfigurenfeld	NONCLOSE
212	B2-S015	B2	f82r	tshey	MC141	Klarlauf	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »lokale Randstationen des unteren Feldes«: Klarlauf — lange einwirken; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
213	B2-S015	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Besitzer »lokale Randstationen des unteren Feldes«: Klarlauf — lange einwirken; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
214	B2-S016	B2	f82r	cheal	MC154	dorthin	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
215	B2-S016	B2	f82r	lchedar	MC011	Quellabführung	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
216	B2-S016	B2	f82r	ches	MC152	Teilen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
217	B2-S016	B2	f82r	aiin	MC039	Sollmaß	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
218	B2-S016	B2	f82r	oteey	MC063	Langfolge	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
219	B2-S016	B2	f82r	qokaiin	MC120	bemessen	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
220	B2-S016	B2	f82r	okey	MC007	kurz einwirken	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	NONCLOSE
221	B2-S016	B2	f82r	pchedy	MC070	Zuführung; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: dorthin — Quellabführung — Teilen — Sollmaß — Langfolge — bemessen — kurz einwirken — Zuführung; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
222	B2-S017	B2	f82r	rsheal	MC102	Kurzhalt am Ziel	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Kurzhalt am Ziel — Zielschluss.	lokale Randstationen des unteren Feldes	NONCLOSE
223	B2-S017	B2	f82r	daldy	MC079	Zielschluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Kurzhalt am Ziel — Zielschluss.	lokale Randstationen des unteren Feldes	TERMINAL
224	B2-S018	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
225	B2-S019	B2	f82r	rshedy	MC084	Waschschluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Waschschluss.	lokale Randstationen des unteren Feldes	TERMINAL
226	B2-S020	B2	f82r	qoteedy	MC173	lange Folgestufe; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange Folgestufe; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
227	B2-S021	B2	f82r	qokeedy	MC082	lange einwirken; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: lange einwirken; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
228	B2-S022	B2	f82r	lochedy	MC167	Abführung; Schluss	J2	Mit Klarauszug durch obere Stationen zum Teilbad und zu den Randwaschungen fuehren: Neuer Schritt: Abführung; Schluss.	lokale Randstationen des unteren Feldes	TERMINAL
229	B3-S001	B3	f83r	olkeedy	MC045	lange sammeln; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Besitzer »obere offene Fächer-Randstation«: lange sammeln; Schluss.	obere offene Fächer-Randstation	TERMINAL
230	B3-S002	B3	f83r	qotal	MC093	danach dorthin	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: danach dorthin — Langwärmen; Schluss.	obere offene Fächer-Randstation	NONCLOSE
231	B3-S002	B3	f83r	chkeedy	MC110	Langwärmen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: danach dorthin — Langwärmen; Schluss.	obere offene Fächer-Randstation	TERMINAL
232	B3-S003	B3	f83r	chey	MC123	dies	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss.	obere offene Fächer-Randstation	NONCLOSE
233	B3-S003	B3	f83r	daiin	MC039	Sollmaß	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss.	obere offene Fächer-Randstation	NONCLOSE
234	B3-S003	B3	f83r	chey	MC123	dies	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss.	obere offene Fächer-Randstation	NONCLOSE
235	B3-S003	B3	f83r	lchedy	MC155	abführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dies — Sollmaß — dies — abführen; Schluss.	obere offene Fächer-Randstation	TERMINAL
236	B3-S004	B3	f83r	qokaiin	MC120	bemessen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — danach dorthin — davon.	obere offene Fächer-Randstation	NONCLOSE
237	B3-S004	B3	f83r	qotal	MC093	danach dorthin	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — danach dorthin — davon.	obere offene Fächer-Randstation	NONCLOSE
238	B3-S004	B3	f83r	dar	MC055	davon	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — danach dorthin — davon.	obere offene Fächer-Randstation	NONCLOSE
239	B3-S005	B3	f83r	schedy	MC025	überführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Besitzer »mittlere runde Gefäß-Randstation«: überführen; Schluss.	mittlere runde Gefäß-Randstation	TERMINAL
240	B3-S006	B3	f83r	chedchy	MC064	Postentransfer	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Postentransfer — dorthin einsetzen — weiterführen; Schluss.	mittlere runde Gefäß-Randstation	NONCLOSE
241	B3-S006	B3	f83r	qokal	MC040	dorthin einsetzen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Postentransfer — dorthin einsetzen — weiterführen; Schluss.	mittlere runde Gefäß-Randstation	NONCLOSE
242	B3-S006	B3	f83r	olchedy	MC028	weiterführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Postentransfer — dorthin einsetzen — weiterführen; Schluss.	mittlere runde Gefäß-Randstation	TERMINAL
243	B3-S007	B3	f83r	qokaiin	MC120	bemessen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — überführen — lange einwirken; Schluss.	mittlere runde Gefäß-Randstation	NONCLOSE
244	B3-S007	B3	f83r	chedy	MC074	überführen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — überführen — lange einwirken; Schluss.	mittlere runde Gefäß-Randstation	NONCLOSE
245	B3-S007	B3	f83r	qokeedy	MC082	lange einwirken; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — überführen — lange einwirken; Schluss.	mittlere runde Gefäß-Randstation	TERMINAL
246	B3-S008	B3	f83r	lchedy	MC155	abführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	mittlere runde Gefäß-Randstation	TERMINAL
247	B3-S009	B3	f83r	qoky	MC026	einsetzen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: einsetzen.	mittlere runde Gefäß-Randstation	NONCLOSE
248	B3-S010	B3	f83r	pchedal	MC126	Zielzuführung	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Besitzer »untere korbartige Gefäß-Randstation«: Zielzuführung — Kurzfolge; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
249	B3-S010	B3	f83r	otedy	MC135	Kurzfolge; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Besitzer »untere korbartige Gefäß-Randstation«: Zielzuführung — Kurzfolge; Schluss.	untere korbartige Gefäß-Randstation	TERMINAL
250	B3-S011	B3	f83r	shecthedchy	MC043	Vorbereitungstransfer	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Vorbereitungstransfer — einsetzen — überführen — Quellposten.	untere korbartige Gefäß-Randstation	NONCLOSE
251	B3-S011	B3	f83r	qoky	MC026	einsetzen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Vorbereitungstransfer — einsetzen — überführen — Quellposten.	untere korbartige Gefäß-Randstation	NONCLOSE
252	B3-S011	B3	f83r	chedy	MC074	überführen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Vorbereitungstransfer — einsetzen — überführen — Quellposten.	untere korbartige Gefäß-Randstation	NONCLOSE
253	B3-S011	B3	f83r	chary	MC009	Quellposten	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Vorbereitungstransfer — einsetzen — überführen — Quellposten.	untere korbartige Gefäß-Randstation	NONCLOSE
254	B3-S012	B3	f83r	sor	MC080	Ansatz	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: mit dem aus der Quelle überführten Posten weiter: Ansatz — kurz absetzen; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
255	B3-S012	B3	f83r	shedy	MC128	kurz absetzen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: mit dem aus der Quelle überführten Posten weiter: Ansatz — kurz absetzen; Schluss.	untere korbartige Gefäß-Randstation	TERMINAL
256	B3-S013	B3	f83r	qokaiin	MC120	bemessen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
257	B3-S013	B3	f83r	chkain	MC105	Anteil	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
258	B3-S013	B3	f83r	shcthey	MC073	kurz vorbereiten	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
259	B3-S013	B3	f83r	qokedy	MC083	kurz einwirken; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — Anteil — kurz vorbereiten — kurz einwirken; Schluss.	untere korbartige Gefäß-Randstation	TERMINAL
260	B3-S014	B3	f83r	okair	MC081	Laufeinsatz	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Laufeinsatz — Langabsetzen; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
261	B3-S014	B3	f83r	sheedy	MC003	Langabsetzen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Laufeinsatz — Langabsetzen; Schluss.	untere korbartige Gefäß-Randstation	TERMINAL
262	B3-S015	B3	f83r	lchedy	MC155	abführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	untere korbartige Gefäß-Randstation	TERMINAL
263	B3-S016	B3	f83r	lo	MC030	Abzug	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Abzug — einführen; Schluss.	untere korbartige Gefäß-Randstation	NONCLOSE
264	B3-S016	B3	f83r	qokchedy	MC005	einführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Abzug — einführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
265	B3-S017	B3	f83r	qokeedy	MC082	lange einwirken; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: lange einwirken; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
266	B3-S018	B3	f83r	shedy	MC128	kurz absetzen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: kurz absetzen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
267	B3-S019	B3	f83r	qokshedy	MC151	Einsatzabsetzen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Einsatzabsetzen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
268	B3-S020	B3	f83r	dal	MC154	dorthin	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dorthin — abführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
269	B3-S020	B3	f83r	lchedy	MC155	abführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: dorthin — abführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
270	B3-S021	B3	f83r	qokaiin	MC120	bemessen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
271	B3-S021	B3	f83r	shcthy	MC161	bereit	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
272	B3-S021	B3	f83r	dal	MC154	dorthin	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
273	B3-S021	B3	f83r	sy	MC123	dies	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
274	B3-S021	B3	f83r	saiin	MC039	Sollmaß	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
275	B3-S021	B3	f83r	shedal	MC113	am Ziel absetzen	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
276	B3-S021	B3	f83r	shecthy	MC137	Kurzvorbereitung	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
277	B3-S021	B3	f83r	chey	MC123	dies	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
278	B3-S021	B3	f83r	tal	MC154	dorthin	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
279	B3-S021	B3	f83r	shcthy	MC161	bereit	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	NONCLOSE
280	B3-S021	B3	f83r	dalchdy	MC031	Zieltransfer; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: bemessen — bereit — dorthin — dies — Sollmaß — am Ziel absetzen — Kurzvorbereitung — dies — dorthin — bereit — Zieltransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
281	B3-S022	B3	f83r	qotchedy	MC057	Folgetransfer; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: Folgetransfer; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
282	B3-S023	B3	f83r	lchedy	MC155	abführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: abführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
283	B3-S024	B3	f83r	tchedy	MC025	überführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: überführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
284	B3-S025	B3	f83r	qokchdy	MC088	einführen; Schluss	J3	Mit Vorratsansatz portionsweise in verschiedene Gefaesse ueberfuehren erwaermen mischen und bereitstellen: Neuer Schritt: einführen; Schluss.	ungelöster Zwischenposten zwischen Randstapel und Hauptpaar	TERMINAL
