component_recipe	register	event_count	owner_count	context_state_key_count	distinct_clause_count	context_required	naive_first_event_id	naive_first_clause_mismatch_count	safe_context_free_reading_de
D_ADDR+AIR	PHARMA	5	3	5	5	YES	G407-E4048	4	Entlang der Bahn hier.
D_ADDR+AIR+A_ADDR+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3019	0	Entlang der Bahn hier, hier und hier.
D_ADDR+AIR+CH+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3247	0	Nimm den Posten entlang der Bahn auf Grad I hier.
D_ADDR+AIR+O+D_ADDR+AIN	PHARMA	1	1	1	1	NO	G407-E4023	0	Führe den Anteil aus entlang der Bahn hier und hier.
D_ADDR+AL+O	BIOLOGICAL	2	1	2	2	YES	G407-E2708	1	Am Zielort hier.
D_ADDR+AN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0104	0	Hier und in der bezeichneten Klasse.
D_ADDR+AR	BIOLOGICAL	21	10	9	9	YES	G407-E1471	18	Vom Ausgang hier.
D_ADDR+AR	CELESTIAL	6	5	5	5	YES	G407-E0992	5	Vom Ausgang hier.
D_ADDR+AR	HERBAL	11	6	8	8	YES	G407-E0284	10	Vom Ausgang hier.
D_ADDR+AR	PHARMA	5	4	4	4	YES	G407-E3823	4	Vom Ausgang hier.
D_ADDR+AR	SOURCE_SECTION_T	4	2	4	4	YES	G407-E0141	3	Vom Ausgang hier.
D_ADDR+AR+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0029	0	Vom Ausgang: Wert hier.
D_ADDR+AR+AL+Y	PHARMA	1	1	1	1	NO	G407-E3968	0	Vom Ausgang und am Zielort: Posten hier.
D_ADDR+AR+D_ADDR+AR+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1755	0	Vom Ausgang und vom Ausgang hier und hier; schließe den Schritt.
D_ADDR+AR+O+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E1730	0	Vom Ausgang hier und hier.
D_ADDR+AR+O+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0522	0	Vom Ausgang hier und hier.
D_ADDR+AR+OR	BIOLOGICAL	1	1	1	1	NO	G407-E2542	0	Vom Ausgang: Einheit hier.
D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0135	0	Posten hier, hier und mit der lokalen Variante.
D_ADDR+CH+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0214	0	Nimm den Wert hier.
D_ADDR+CH+AL	HERBAL	1	1	1	1	NO	G407-E0687	0	Nimm am Zielort hier.
D_ADDR+CH+AR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0145	0	Nimm vom Ausgang hier.
D_ADDR+CH+E+O	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0199	0	Nimm auf Grad I als Ausführung hier.
D_ADDR+CH+E+O+K+E+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3605	0	Nimm den Posten; gib den Posten auf Grad I und auf Grad I als Ausführung hier und hier.
D_ADDR+CH+E+O+R	HERBAL	1	1	1	1	NO	G407-E0509	0	Nimm; markiere auf Grad I als Ausführung hier.
D_ADDR+CH+EE+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1999	0	Nimm den Posten auf Grad II hier und hier.
D_ADDR+CH+LOCAL_CHAR_G	HERBAL	1	1	1	1	NO	G407-E0374	0	Nimm hier und mit der lokalen Variante.
D_ADDR+CH+O+DY	HERBAL	1	1	1	1	NO	G407-E4525	0	Nimm als Ausführung hier; schließe den Schritt.
D_ADDR+CH+OR	CELESTIAL	1	1	1	1	NO	G407-E1054	0	Nimm die Einheit hier.
D_ADDR+CH+OR	HERBAL	2	2	1	1	NO	G407-E0388	0	Nimm die Einheit hier.
D_ADDR+CH+S+E+D_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3041	0	Nimm; wähle auf Grad I hier und hier.
D_ADDR+CH+Y	HERBAL	1	1	1	1	NO	G407-E0498	0	Nimm den Posten hier.
D_ADDR+CHD+Y	BIOLOGICAL	4	4	1	1	NO	G407-E1802	0	Bearbeite den Posten hier.
D_ADDR+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3100	0	Auf Grad I hier; schließe den Schritt.
D_ADDR+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3492	0	Posten auf Grad II hier.
D_ADDR+EE+Y	PHARMA	1	1	1	1	NO	G407-E4198	0	Posten auf Grad II hier.
D_ADDR+EEE+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3278	0	Posten auf Grad III hier und hier.
D_ADDR+K+AIN	BIOLOGICAL	1	1	1	1	NO	G407-E3001	0	Gib den Anteil hier.
D_ADDR+K+SH+E+Y	HERBAL	1	1	1	1	NO	G407-E4508	0	Gib den Posten; halte den Posten auf Grad I hier.
D_ADDR+K+Y	HERBAL	1	1	1	1	NO	G407-E0342	0	Gib den Posten hier.
D_ADDR+L+O+O	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0152	0	Über die Verbindung hier.
D_ADDR+L+O+S	HERBAL	1	1	1	1	NO	G407-E0636	0	Wähle über die Verbindung als Ausführung hier.
D_ADDR+O	HERBAL	1	1	1	1	NO	G407-E0678	0	Hier.
D_ADDR+O+AIIN	HERBAL	1	1	1	1	NO	G407-E0425	0	Führe den Wert aus hier.
D_ADDR+O+DY	HERBAL	1	1	1	1	NO	G407-E0451	0	Hier; schließe den Schritt.
D_ADDR+O+DY+D_LABEL	HERBAL	1	1	1	1	NO	G407-E0695	0	Hier und hier; schließe den Schritt.
D_ADDR+O+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0333	0	Hier und hier.
D_ADDR+O+IIN	CELESTIAL	1	1	1	1	NO	G407-E0907	0	Auf der bezeichneten Stufe hier.
D_ADDR+O+IIN	HERBAL	1	1	1	1	NO	G407-E0436	0	Auf der bezeichneten Stufe hier.
D_ADDR+O+IIN+R	HERBAL	2	2	1	1	NO	G407-E0252	0	Markiere auf der bezeichneten Stufe als Ausführung hier.
D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	PHARMA	1	1	1	1	NO	G407-E4353	0	Hier, mit der lokalen Variante, mit der lokalen Variante und hier.
D_ADDR+O+S+AR	CELESTIAL	1	1	1	1	NO	G407-E0945	0	Wähle vom Ausgang als Ausführung hier.
D_ADDR+O+Y	PHARMA	1	1	1	1	NO	G407-E4047	0	Führe den Posten aus hier.
D_ADDR+OK+AN	CELESTIAL	1	1	1	1	NO	G407-E0949	0	Setze hier und in der bezeichneten Klasse.
D_ADDR+OL	BIOLOGICAL	6	6	5	5	YES	G407-E2329	5	Weiter: Hier.
D_ADDR+OL	HERBAL	3	2	2	2	YES	G407-E0334	2	Weiter: Hier.
D_ADDR+OL	PHARMA	4	4	4	4	YES	G407-E3927	3	Weiter: Hier.
D_ADDR+OL+CH+L	BIOLOGICAL	1	1	1	1	NO	G407-E2616	0	Weiter: Nimm über die Verbindung hier.
D_ADDR+OL+CH+S+Y+CH+K+E+OL	PHARMA	1	1	1	1	NO	G407-E4208	0	Weiter und Weiter: Nimm den Posten; wähle den Posten; nimm den Posten; gib den Posten auf Grad I hier.
D_ADDR+OL+EEE+Y	PHARMA	1	1	1	1	NO	G407-E3832	0	Weiter: Posten auf Grad III hier.
D_ADDR+OL+K+AIN	HERBAL	1	1	1	1	NO	G407-E4523	0	Weiter: Gib den Anteil hier.
D_ADDR+OL+K+Y	HERBAL	1	1	1	1	NO	G407-E4569	0	Weiter: Gib den Posten hier.
D_ADDR+OL+SH+E	BIOLOGICAL	1	1	1	1	NO	G407-E3723	0	Weiter: Halte auf Grad I hier.
D_ADDR+OR	BIOLOGICAL	3	2	3	3	YES	G407-E1521	2	Einheit hier.
D_ADDR+OR	HERBAL	3	3	3	3	YES	G407-E0327	2	Einheit hier.
D_ADDR+OR+SH+E+O+Y	PHARMA	1	1	1	1	NO	G407-E3796	0	Halte die Einheit und den Posten auf Grad I als Ausführung hier.
D_ADDR+OR+Y	PHARMA	1	1	1	1	NO	G407-E3799	0	Einheit des Postens hier.
D_ADDR+OT+EE+Y	CELESTIAL	1	1	1	1	NO	G407-E1373	0	Danach: Posten auf Grad II hier.
D_ADDR+P+Y	HERBAL	1	1	1	1	NO	G407-E0404	0	Setze den Posten ein hier.
D_ADDR+SH+E+CH+K+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1489	0	Halte den Posten; nimm den Posten; gib den Posten auf Grad I hier.
D_ADDR+SH+E+Y	HERBAL	1	1	1	1	NO	G407-E4514	0	Halte den Posten auf Grad I hier.
D_ADDR+SH+EE+S	BIOLOGICAL	1	1	1	1	NO	G407-E2760	0	Halte; wähle auf Grad II hier.
D_ADDR+SH+OL+Y+D_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3030	0	Weiter: Halte den Posten hier und hier.
D_ADDR+SH+OR	BIOLOGICAL	1	1	1	1	NO	G407-E1503	0	Halte die Einheit hier.
D_ADDR+SH+OR	PHARMA	1	1	1	1	NO	G407-E3938	0	Halte die Einheit hier.
D_ADDR+Y	HERBAL	2	2	2	2	YES	G407-E0267	1	Posten hier.
D_ADDR+Y+CH+E+AR	HERBAL	1	1	1	1	NO	G407-E0499	0	Nimm den Posten vom Ausgang auf Grad I hier.
D_ADDR+Y+K+AIN	BIOLOGICAL	1	1	1	1	NO	G407-E2951	0	Gib den Posten und den Anteil hier.
D_ADDR+Y+L+CH+E+S	BIOLOGICAL	2	2	1	1	NO	G407-E2164	0	Nimm den Posten; wähle den Posten über die Verbindung auf Grad I hier.
D_ADDR+Y+P+Y	HERBAL	1	1	1	1	NO	G407-E0373	0	Setze den Posten und den Posten ein hier.
E+CH+K+E+AR	CELESTIAL	1	1	1	1	NO	G407-E1052	0	Nimm; gib vom Ausgang auf Grad I und auf Grad I.
E+K+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3781	0	Gib den Posten auf Grad I und auf Grad I.
E+K+Y	PHARMA	1	1	1	1	NO	G407-E4276	0	Gib den Posten auf Grad I.
E+O	SOURCE_SECTION_T	2	2	2	2	YES	G407-E0109	1	Auf Grad I.
E+OL	BIOLOGICAL	1	1	1	1	NO	G407-E3146	0	Weiter: Auf Grad I.
E+OL	CELESTIAL	2	2	2	2	YES	G407-E1345	1	Weiter: Auf Grad I.
E+OL	PHARMA	1	1	1	1	NO	G407-E3868	0	Weiter: Auf Grad I.
E+S	CELESTIAL	1	1	1	1	NO	G407-E0979	0	Wähle auf Grad I.
E+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0079	0	Wähle auf Grad I.
E+S+E+DY	HERBAL	1	1	1	1	NO	G407-E0802	0	Wähle auf Grad I und auf Grad I; schließe den Schritt.
E+S+E+S	BIOLOGICAL	1	1	1	1	NO	G407-E2755	0	Wähle; wähle auf Grad I und auf Grad I.
E+T+EEE+Y	CELESTIAL	1	1	1	1	NO	G407-E1277	0	Stelle den Posten ein auf Grad I und auf Grad III.
E+T+Y	HERBAL	2	2	1	1	NO	G407-E0232	0	Stelle den Posten ein auf Grad I.
E+Y	BIOLOGICAL	3	2	2	2	YES	G407-E1443	1	Posten auf Grad I.
E+Y	HERBAL	1	1	1	1	NO	G407-E0540	0	Posten auf Grad I.
E+Y	PHARMA	1	1	1	1	NO	G407-E4133	0	Posten auf Grad I.
EE+AR	BIOLOGICAL	1	1	1	1	NO	G407-E3599	0	Vom Ausgang auf Grad II.
EE+DY	CELESTIAL	1	1	1	1	NO	G407-E1412	0	Auf Grad II; schließe den Schritt.
EEE+DY	BIOLOGICAL	1	1	1	1	NO	G407-E2645	0	Auf Grad III; schließe den Schritt.
EEE+DY	CELESTIAL	1	1	1	1	NO	G407-E1391	0	Auf Grad III; schließe den Schritt.
EEE+T+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3636	0	Stelle den Posten ein auf Grad III.
HO	HERBAL	5	4	5	5	YES	G407-E0489	4	In der bezeichneten Klasse.
HO	PHARMA	2	2	2	2	YES	G407-E3951	1	In der bezeichneten Klasse.
HO	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0180	0	In der bezeichneten Klasse.
HO+AL+Y	HERBAL	1	1	1	1	NO	G407-E0831	0	Am Zielort: Posten in der bezeichneten Klasse.
HO+CH+K+Y	PHARMA	2	2	1	1	NO	G407-E3994	0	Nimm den Posten; gib den Posten in der bezeichneten Klasse.
HO+CH+OR	HERBAL	1	1	1	1	NO	G407-E0829	0	Nimm die Einheit in der bezeichneten Klasse.
HO+EE+Y	PHARMA	1	1	1	1	NO	G407-E3956	0	Posten auf Grad II in der bezeichneten Klasse.
HO+LOCAL_CHAR_G	HERBAL	1	1	1	1	NO	G407-E0446	0	In der bezeichneten Klasse und mit der lokalen Variante.
HO+M_LOCAL	HERBAL	1	1	1	1	NO	G407-E0556	0	In der bezeichneten Klasse und hier.
HO+M_LOCAL	PHARMA	1	1	1	1	NO	G407-E4159	0	In der bezeichneten Klasse und hier.
HO+Y	HERBAL	3	3	3	3	YES	G407-E0426	2	Posten in der bezeichneten Klasse.
IIN	BIOLOGICAL	1	1	1	1	NO	G407-E2569	0	Auf der bezeichneten Stufe.
K	HERBAL	4	3	2	2	YES	G407-E0429	2	Gib.
K+AIIN	BIOLOGICAL	3	2	1	1	NO	G407-E2911	0	Gib den Wert.
K+AIIN	CELESTIAL	1	1	1	1	NO	G407-E1106	0	Gib den Wert.
K+AIIN	SOURCE_SECTION_T	2	1	1	1	NO	G407-E0176	0	Gib den Wert.
K+AIN	BIOLOGICAL	5	4	1	1	NO	G407-E1444	0	Gib den Anteil.
K+AIN	HERBAL	1	1	1	1	NO	G407-E4515	0	Gib den Anteil.
K+AIR	BIOLOGICAL	1	1	1	1	NO	G407-E2937	0	Gib entlang der Bahn.
K+AIR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0015	0	Gib entlang der Bahn.
K+AL	BIOLOGICAL	3	3	1	1	NO	G407-E1453	0	Gib am Zielort.
K+AL	CELESTIAL	1	1	1	1	NO	G407-E1136	0	Gib am Zielort.
K+AL	HERBAL	1	1	1	1	NO	G407-E0775	0	Gib am Zielort.
K+AL+OL	BIOLOGICAL	1	1	1	1	NO	G407-E1698	0	Weiter: Gib am Zielort.
K+AM_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3256	0	Gib hier.
K+AR	BIOLOGICAL	5	4	1	1	NO	G407-E1460	0	Gib vom Ausgang.
K+AR	HERBAL	1	1	1	1	NO	G407-E0711	0	Gib vom Ausgang.
K+A_ADDR+LOCAL_CHAR_I+IIN	HERBAL	1	1	1	1	NO	G407-E0289	0	Gib auf der bezeichneten Stufe hier und mit der lokalen Variante.
K+A_ADDR+LOCAL_CHAR_I+P+Y	HERBAL	1	1	1	1	NO	G407-E4418	0	Gib den Posten; setze den Posten ein hier und mit der lokalen Variante.
K+CH+AIIN	HERBAL	2	2	1	1	NO	G407-E0270	0	Gib den Wert; nimm den Wert.
K+CH+AL	HERBAL	1	1	1	1	NO	G407-E0874	0	Gib; nimm am Zielort.
K+CH+AR+LOCAL_CHAR_G	HERBAL	2	2	1	1	NO	G407-E0545	0	Gib; nimm vom Ausgang mit der lokalen Variante.
K+CH+E+Y	HERBAL	1	1	1	1	NO	G407-E0870	0	Gib den Posten; nimm den Posten auf Grad I.
K+CH+EE+D_ADDR+CHD+Y	HERBAL	1	1	1	1	NO	G407-E0691	0	Gib den Posten; nimm den Posten; bearbeite den Posten auf Grad II hier.
K+CH+EE+Y	HERBAL	1	1	1	1	NO	G407-E0863	0	Gib den Posten; nimm den Posten auf Grad II.
K+CH+O+AR	HERBAL	1	1	1	1	NO	G407-E0897	0	Gib; nimm vom Ausgang als Ausführung.
K+CH+O+D_ADDR	HERBAL	1	1	1	1	NO	G407-E0686	0	Gib; nimm als Ausführung hier.
K+CH+OR	HERBAL	1	1	1	1	NO	G407-E0558	0	Gib die Einheit; nimm die Einheit.
K+CH+OR	PHARMA	1	1	1	1	NO	G407-E3914	0	Gib die Einheit; nimm die Einheit.
K+CHD+Y	HERBAL	2	2	1	1	NO	G407-E0740	0	Gib den Posten; bearbeite den Posten.
K+CHD+Y+K+AR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1425	0	Gib den Posten und den Posten; bearbeite den Posten und den Posten; gib den Posten und den Posten vom Ausgang.
K+D_ADDR+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0197	0	Gib den Posten hier.
K+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3282	0	Gib auf Grad I; schließe den Schritt.
K+E+O+AL	CELESTIAL	1	1	1	1	NO	G407-E1225	0	Gib am Zielort auf Grad I als Ausführung.
K+E+OL	HERBAL	2	2	1	1	NO	G407-E0661	0	Weiter: Gib auf Grad I.
K+E+OL	PHARMA	2	2	2	2	YES	G407-E3806	1	Weiter: Gib auf Grad I.
K+E+OR	CELESTIAL	1	1	1	1	NO	G407-E1091	0	Gib die Einheit auf Grad I.
K+E+SH+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1544	0	Gib den Posten; halte den Posten auf Grad I.
K+E+S_ADDR+D_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3700	0	Gib auf Grad I hier und hier.
K+E+Y	PHARMA	1	1	1	1	NO	G407-E3954	0	Gib den Posten auf Grad I.
K+EE+DY	BIOLOGICAL	7	4	2	2	YES	G407-E1535	2	Gib auf Grad II; schließe den Schritt.
K+EE+O	PHARMA	1	1	1	1	NO	G407-E4283	0	Gib auf Grad II als Ausführung.
K+EE+O+D_ADDR	PHARMA	1	1	1	1	NO	G407-E3957	0	Gib auf Grad II als Ausführung hier.
K+EE+O+D_ADDR+AIIN	PHARMA	1	1	1	1	NO	G407-E4033	0	Gib den Wert auf Grad II als Ausführung hier.
K+EE+O+K+E+CH+Y	PHARMA	1	1	1	1	NO	G407-E4365	0	Gib den Posten; gib den Posten; nimm den Posten auf Grad II und auf Grad I als Ausführung.
K+EE+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1942	0	Gib den Posten auf Grad II.
K+EE+Y	CELESTIAL	2	2	1	1	NO	G407-E1072	0	Gib den Posten auf Grad II.
K+EE+Y	HERBAL	2	1	1	1	NO	G407-E0817	0	Gib den Posten auf Grad II.
K+EE+Y	PHARMA	2	2	1	1	NO	G407-E4275	0	Gib den Posten auf Grad II.
K+EE+Y	SOURCE_SECTION_T	2	1	1	1	NO	G407-E0205	0	Gib den Posten auf Grad II.
K+EE+Y+LOCAL_CHAR_F+AR	HERBAL	1	1	1	1	NO	G407-E0716	0	Gib den Posten vom Ausgang auf Grad II mit der lokalen Variante.
K+EEE+D_ADDR+Y	BIOLOGICAL	2	1	1	1	NO	G407-E3334	0	Gib den Posten auf Grad III hier.
K+O+A_ADDR+Y	PHARMA	1	1	1	1	NO	G407-E3843	0	Gib den Posten als Ausführung hier.
K+O+CH+K+Y	HERBAL	1	1	1	1	NO	G407-E0649	0	Gib den Posten; nimm den Posten; gib den Posten als Ausführung.
K+O+D_ADDR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0106	0	Gib als Ausführung hier.
K+O+D_ADDR+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0090	0	Gib den Wert als Ausführung hier.
K+O+D_ADDR+SH+E+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0139	0	Gib den Posten; halte den Posten auf Grad I als Ausführung hier.
K+O+E+AM_ADDR	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0127	0	Gib auf Grad I als Ausführung hier.
K+O+E+Y	CELESTIAL	1	1	1	1	NO	G407-E1351	0	Gib den Posten auf Grad I als Ausführung.
K+O+M_LOCAL	HERBAL	1	1	1	1	NO	G407-E0222	0	Gib als Ausführung hier.
K+O+S	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0064	0	Gib; wähle als Ausführung.
K+O+SH+E+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0201	0	Gib den Posten; halte den Posten auf Grad I als Ausführung.
K+O+SH+OL+DY	PHARMA	1	1	1	1	NO	G407-E3969	0	Weiter: Gib; halte als Ausführung; schließe den Schritt.
K+OK+AIIN	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0195	0	Gib den Wert; setze den Wert.
K+OL	BIOLOGICAL	1	1	1	1	NO	G407-E1578	0	Weiter: Gib.
K+OL	CELESTIAL	1	1	1	1	NO	G407-E1162	0	Weiter: Gib.
K+OL	HERBAL	4	3	1	1	NO	G407-E0322	0	Weiter: Gib.
K+OL	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0113	0	Weiter: Gib.
K+OL+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3249	0	Weiter: Gib den Posten; bearbeite den Posten.
K+OL+DY	BIOLOGICAL	1	1	1	1	NO	G407-E1774	0	Weiter: Gib; schließe den Schritt.
K+OL+DY	PHARMA	1	1	1	1	NO	G407-E4260	0	Weiter: Gib; schließe den Schritt.
K+OL+P+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2270	0	Weiter: Gib den Posten; setze den Posten ein.
K+OL+Y	CELESTIAL	1	1	1	1	NO	G407-E1424	0	Weiter: Gib den Posten.
K+OR	BIOLOGICAL	1	1	1	1	NO	G407-E2335	0	Gib die Einheit.
K+OR	PHARMA	1	1	1	1	NO	G407-E3908	0	Gib die Einheit.
K+OR	SOURCE_SECTION_T	2	2	1	1	NO	G407-E0009	0	Gib die Einheit.
K+OR+AIN	PHARMA	1	1	1	1	NO	G407-E4022	0	Gib die Einheit und den Anteil.
K+OR+CH+Y	HERBAL	1	1	1	1	NO	G407-E0810	0	Gib die Einheit und den Posten; nimm die Einheit und den Posten.
K+SH+E+DY	HERBAL	1	1	1	1	NO	G407-E4554	0	Gib; halte auf Grad I; schließe den Schritt.
K+SH+E+D_ADDR	HERBAL	1	1	1	1	NO	G407-E4538	0	Gib; halte auf Grad I hier.
K+SH+E+O	HERBAL	1	1	1	1	NO	G407-E0492	0	Gib; halte auf Grad I als Ausführung.
K+SH+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E1625	0	Gib den Posten; halte den Posten auf Grad I.
K+SH+O	HERBAL	1	1	1	1	NO	G407-E0666	0	Gib; halte als Ausführung.
K+SH+O+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0081	0	Gib den Posten; halte den Posten als Ausführung.
K+SH+Y	HERBAL	1	1	1	1	NO	G407-E0318	0	Gib den Posten; halte den Posten.
K+SH+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0121	0	Gib den Posten; halte den Posten.
K+Y	BIOLOGICAL	2	2	1	1	NO	G407-E2065	0	Gib den Posten.
K+Y	HERBAL	3	2	1	1	NO	G407-E0336	0	Gib den Posten.
K+Y	PHARMA	1	1	1	1	NO	G407-E4330	0	Gib den Posten.
K+Y	SOURCE_SECTION_T	1	1	1	1	NO	G407-E0122	0	Gib den Posten.
L	BIOLOGICAL	16	10	8	8	YES	G407-E1672	14	Über die Verbindung.
L	CELESTIAL	1	1	1	1	NO	G407-E1359	0	Über die Verbindung.
L	PHARMA	1	1	1	1	NO	G407-E4119	0	Über die Verbindung.
L+AIIN	BIOLOGICAL	6	5	3	3	YES	G407-E2071	4	Über die Verbindung: Wert.
L+AIN	PHARMA	1	1	1	1	NO	G407-E4157	0	Über die Verbindung: Anteil.
L+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3547	0	Über die Verbindung und am Zielort.
L+AL+OR	BIOLOGICAL	2	2	2	2	YES	G407-E2187	1	Über die Verbindung und am Zielort: Einheit.
L+AR	BIOLOGICAL	3	2	2	2	YES	G407-E2019	2	Über die Verbindung und vom Ausgang.
L+CH	BIOLOGICAL	1	1	1	1	NO	G407-E1566	0	Nimm über die Verbindung.
L+CH+CH+P+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3576	0	Nimm; nimm; setze über die Verbindung ein auf Grad I; schließe den Schritt.
L+CH+E+AR	BIOLOGICAL	1	1	1	1	NO	G407-E2687	0	Nimm über die Verbindung und vom Ausgang auf Grad I.
L+CH+EE+D_ADDR+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3367	0	Nimm den Posten über die Verbindung auf Grad II hier.
L+CH+EE+OR	BIOLOGICAL	1	1	1	1	NO	G407-E3436	0	Nimm die Einheit über die Verbindung auf Grad II.
L+CH+K+E+DY	BIOLOGICAL	1	1	1	1	NO	G407-E3194	0	Nimm; gib über die Verbindung auf Grad I; schließe den Schritt.
L+CH+K+Y	BIOLOGICAL	2	1	1	1	NO	G407-E3191	0	Nimm den Posten; gib den Posten über die Verbindung.
L+CH+L	BIOLOGICAL	1	1	1	1	NO	G407-E2895	0	Nimm über die Verbindung und über die Verbindung.
L+CH+O	BIOLOGICAL	1	1	1	1	NO	G407-E3236	0	Nimm über die Verbindung als Ausführung.
L+CH+P+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3056	0	Nimm den Posten; setze den Posten ein; bearbeite den Posten über die Verbindung.
L+CH+S	BIOLOGICAL	1	1	1	1	NO	G407-E3466	0	Nimm; wähle über die Verbindung.
L+CH+Y	BIOLOGICAL	2	2	1	1	NO	G407-E2214	0	Nimm den Posten über die Verbindung.
L+CHD	BIOLOGICAL	2	1	1	1	NO	G407-E3192	0	Bearbeite über die Verbindung.
L+CHD+AL	BIOLOGICAL	1	1	1	1	NO	G407-E3119	0	Bearbeite über die Verbindung und am Zielort.
L+CHD+AR	BIOLOGICAL	2	2	1	1	NO	G407-E2300	0	Bearbeite über die Verbindung und vom Ausgang.
L+CHD+DY	BIOLOGICAL	34	11	3	3	YES	G407-E1512	2	Bearbeite über die Verbindung; schließe den Schritt.
L+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3761	0	Bearbeite den Posten über die Verbindung.
L+CHD+Y	PHARMA	1	1	1	1	NO	G407-E4028	0	Bearbeite den Posten über die Verbindung.
L+DA+R	BIOLOGICAL	1	1	1	1	NO	G407-E3577	0	Markiere über die Verbindung auf der zweiten Stufe.
L+DY	BIOLOGICAL	5	3	4	4	YES	G407-E1720	4	Über die Verbindung; schließe den Schritt.
L+DY	HERBAL	1	1	1	1	NO	G407-E4453	0	Über die Verbindung; schließe den Schritt.
L+EE+Y	BIOLOGICAL	2	2	1	1	NO	G407-E2227	0	Über die Verbindung: Posten auf Grad II.
L+K+AIIN	BIOLOGICAL	3	3	1	1	NO	G407-E1680	0	Gib den Wert über die Verbindung.
L+K+AIN	BIOLOGICAL	2	2	1	1	NO	G407-E1920	0	Gib den Anteil über die Verbindung.
L+K+AM_ADDR+O	BIOLOGICAL	1	1	1	1	NO	G407-E1450	0	Gib über die Verbindung als Ausführung hier.
L+K+AR	BIOLOGICAL	2	2	1	1	NO	G407-E1917	0	Gib über die Verbindung und vom Ausgang.
L+K+CHD+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3208	0	Gib den Posten; bearbeite den Posten über die Verbindung.
L+K+E+DY	BIOLOGICAL	5	4	1	1	NO	G407-E1878	0	Gib über die Verbindung auf Grad I; schließe den Schritt.
L+K+E+D_ADDR+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E3038	0	Gib den Posten über die Verbindung auf Grad I und auf Grad I hier.
L+K+E+O	PHARMA	1	1	1	1	NO	G407-E3931	0	Gib über die Verbindung auf Grad I als Ausführung.
L+K+E+O+P+OL	PHARMA	1	1	1	1	NO	G407-E4244	0	Weiter: Gib; setze über die Verbindung ein auf Grad I als Ausführung.
L+K+E+Y	BIOLOGICAL	1	1	1	1	NO	G407-E2141	0	Gib den Posten über die Verbindung auf Grad I.
L+K+EE+D_ADDR	BIOLOGICAL	1	1	1	1	NO	G407-E3606	0	Gib über die Verbindung auf Grad II hier.
