state_edition_ordinal	event_id	statement_id	physical_page	register	owner_id	surface	final_context_recipe	gdt566_selected_clause_de	owner_voice_working_clause_de	owner_bound_control_clause_de	owner_voice_changed	owner_voice_equals_owner_bound	adapter_card_count	adapter_card_ids	outer_template_id	structural_template_id	state_atom_alignment	guard
1023	G407-E3112	G407-S482	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qotain	OT+AIN	Danach: stelle den Anteil ein.	Danach: stelle den Stationsanteil ein.	Danach im laufenden Gang stelle den Stationsanteil ein.	YES	NO	1	GDT567-A14	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1024	G407-E3115	G407-S482	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	lshedy	L+SH+E+DY	Halte den Posten; über die Verbindung; auf Grad I; abschließen.	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	YES	NO	3	GDT567-A12|GDT567-A33|GDT567-A39	GDT565-O01	GDT565-T026	1:L=über die Verbindung | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1025	G407-E3116	G407-S483	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	lshedy	L+SH+E+DY	Halte den Posten; über die Verbindung; auf Grad I; abschließen.	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	YES	NO	3	GDT567-A12|GDT567-A33|GDT567-A39	GDT565-O01	GDT565-T026	1:L=über die Verbindung | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1026	G407-E3118	G407-S484	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qolky	OL+K+Y	Weiter: gib den Posten.	Weiter: gib den Stationsposten.	Weiter führe den Stationsposten zu.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter | 2:K=geben | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1027	G407-E3120	G407-S484	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qol	OL	Weiter: bearbeite den Posten.	Weiter: bearbeite den Stationsposten.	Weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1028	G407-E3121	G407-S484	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	otar	OT+AR	Danach: bearbeite den Posten; vom Ausgang.	Danach: bearbeite den Stationsposten; von der Ausgangsstation.	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; von der Ausgangsstation.	YES	NO	2	GDT567-A12|GDT567-A32	GDT565-O03	GDT565-T140	1:OT=danach | 2:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1029	G407-E3123	G407-S484	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qol	OL	Weiter: setze den Posten.	Weiter: setze den Stationsposten.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1030	G407-E3127	G407-S484	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	lchedy	L+CHD+DY	Bearbeite den Posten; über die Verbindung; abschließen.	Bearbeite den Stationsposten; über die sichtbare Verbindung; schließe den Schritt.	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	YES	NO	3	GDT567-A12|GDT567-A33|GDT567-A39	GDT565-O01	GDT565-T024	1:L=über die Verbindung | 2:CHD=bearbeiten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1031	G407-E3130	G407-S485	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	shol	SH+OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1032	G407-E3133	G407-S485	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	olkain	OL+K+AIN	Weiter: gib den Anteil.	Weiter: gib den Stationsanteil.	Weiter führe den Stationsanteil zu.	YES	NO	1	GDT567-A14	GDT565-O05	GDT565-T072	1:OL=weiter | 2:K=geben | 3:AIN=den Anteil	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1033	G407-E3134	G407-S485	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	shedy	SH+E+DY	Halte den Anteil; auf Grad I; abschließen.	Halte den Stationsanteil; auf Grad I; schließe den Schritt.	Halte den Stationsanteil [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A14|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1034	G407-E3137	G407-S486	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	rol	R+OL	Weiter: markiere den Posten.	Weiter: markiere den Stationsposten.	Weiter markiere den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:R=markieren | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1035	G407-E3138	G407-S486	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	olcthdy	OL+CH+T+D_ADDR+Y	Weiter: nimm den Posten und stelle den Posten ein; hier.	Weiter: nimm den Stationsposten und stelle den Stationsposten ein; an der bezeichneten Stelle.	Weiter entnimm den Stationsposten und stelle den Stationsposten ein; an der bezeichneten Stelle.	YES	NO	2	GDT567-A12|GDT567-A38	GDT565-O03	GDT565-T090	1:OL=weiter | 2:CH=nehmen | 3:T=einstellen | 4:D_ADDR=hier | 5:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1036	G407-E3140	G407-S486	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	okchedy	OK+CHD+DY	Setze den Posten und bearbeite den Posten; abschließen.	Setze den Stationsposten und bearbeite den Stationsposten; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an und bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O02	GDT565-T037	1:OK=setzen | 2:CHD=bearbeiten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1037	G407-E3143	G407-S487	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qol	OL	Weiter: setze den Posten.	Weiter: setze den Stationsposten.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1038	G407-E3146	G407-S487	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	teol	E+OL	Weiter: wähle den Posten; auf Grad I.	Weiter: wähle den Stationsposten; auf Grad I.	Weiter im laufenden Gang wähle den Stationsposten [wie zuvor]; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T064	1:E=auf Grad I | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1039	G407-E3147	G407-S487	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	dchdy	CHD+DY	Bearbeite den Posten; abschließen.	Bearbeite den Stationsposten; schließe den Schritt.	Bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O02	GDT565-T023	1:CHD=bearbeiten | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1040	G407-E3150	G407-S488	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qotedy	OT+E+DY	Danach: halte den Posten; auf Grad I; abschließen.	Danach: halte den Stationsposten; auf Grad I; schließe den Schritt.	Danach im laufenden Gang halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1041	G407-E3151	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	shol	SH+OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:SH=halten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1042	G407-E3155	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	ol	OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1043	G407-E3157	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	qol	OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1044	G407-E3161	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	ol	OL	Weiter: setze den Posten.	Weiter: setze den Stationsposten.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1045	G407-E3162	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	checholtar	CH+E+OL+T+AR	Weiter: nimm den Posten und stelle den Posten ein; auf Grad I; vom Ausgang.	Weiter: nimm den Stationsposten und stelle den Stationsposten ein; auf Grad I; von der Ausgangsstation.	Weiter entnimm den Stationsposten [wie zuvor] und stelle den Stationsposten [wie zuvor] ein; von der Ausgangsstation; auf Grad I.	YES	NO	2	GDT567-A12|GDT567-A32	GDT565-O03	GDT565-T089	1:CH=nehmen | 2:E=auf Grad I | 3:OL=weiter | 4:T=einstellen | 5:AR=vom Ausgang	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1046	G407-E3164	G407-S489	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	okedy	OK+E+DY	Setze den Posten; auf Grad I; abschließen.	Setze den Stationsposten; auf Grad I; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1047	G407-E3167	G407-S490	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	olkeol	OL+K+E+OL	Weiter: gib den Posten; auf Grad I; nochmals weiterführen.	Weiter: gib den Stationsposten; auf Grad I; nochmals weiterführen.	Weiter und weiter führe den Stationsposten [wie zuvor] zu; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O04	GDT565-T117	1:OL=weiter | 2:K=geben | 3:E=auf Grad I | 4:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1048	G407-E3168	G407-S490	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	olkeedy	OL+K+EE+DY	Weiter: gib den Posten; auf Grad II; abschließen.	Weiter: gib den Stationsposten; auf Grad II; schließe den Schritt.	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T107	1:OL=weiter | 2:K=geben | 3:EE=auf Grad II | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1049	G407-E3169	G407-S491	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	okeol	OK+E+OL	Weiter: setze den Posten; auf Grad I.	Weiter: setze den Stationsposten; auf Grad I.	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T064	1:OK=setzen | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1050	G407-E3170	G407-S491	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	dsheol	SH+E+OL	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Stationsposten; auf Grad I.	Weiter halte den Stationsposten [wie zuvor]; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T064	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1051	G407-E3172	G407-S491	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	olkeedy	OL+K+EE+DY	Weiter: gib den Posten; auf Grad II; abschließen.	Weiter: gib den Stationsposten; auf Grad II; schließe den Schritt.	Weiter führe den Stationsposten [wie zuvor] zu; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T107	1:OL=weiter | 2:K=geben | 3:EE=auf Grad II | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1052	G407-E3173	G407-S492	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	tedy	T+E+DY	Stelle den Posten ein; auf Grad I; abschließen.	Stelle den Stationsposten ein; auf Grad I; schließe den Schritt.	Stelle den Stationsposten [wie zuvor] ein; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:T=einstellen | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1053	G407-E3175	G407-S493	f81v	BIOLOGICAL	gemeinsames zweireihiges Badfeld	shckhedy	SH+CH+K+E+DY	Halte den Posten und nimm den Posten und gib den Posten; auf Grad I; abschließen.	Halte den Stationsposten und nimm den Stationsposten und gib den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T041	1:SH=halten | 2:CH=nehmen | 3:K=geben | 4:E=auf Grad I | 5:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1054	G407-E3178	G407-S495	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qokeol	OK+E+OL	Weiter: setze den Posten; auf Grad I.	Weiter: setze den Stationsposten; auf Grad I.	Weiter setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad I.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T064	1:OK=setzen | 2:E=auf Grad I | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1055	G407-E3186	G407-S495	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qolchedy	OL+CHD+DY	Weiter: bearbeite den Posten; abschließen.	Weiter: bearbeite den Stationsposten; schließe den Schritt.	Weiter bearbeite den Stationsposten [wie zuvor]; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O06	GDT565-T110	1:OL=weiter | 2:CHD=bearbeiten | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1056	G407-E3189	G407-S496	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qokeedy	OK+EE+DY	Setze den Posten; auf Grad II; abschließen.	Setze den Stationsposten; auf Grad II; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1057	G407-E3194	G407-S497	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	lcheckhedy	L+CH+K+E+DY	Nimm den Posten und gib den Posten; über die Verbindung; auf Grad I; abschließen.	Nimm den Stationsposten und gib den Stationsposten; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	YES	NO	3	GDT567-A12|GDT567-A33|GDT567-A39	GDT565-O01	GDT565-T039	1:L=über die Verbindung | 2:CH=nehmen | 3:K=geben | 4:E=auf Grad I | 5:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1058	G407-E3196	G407-S498	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	solkaiin	OL+K+AIIN	Weiter: gib den Wert.	Weiter: gib den Stationswert.	Weiter führe den Stationswert zu.	YES	NO	1	GDT567-A13	GDT565-O05	GDT565-T072	1:OL=weiter | 2:K=geben | 3:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1059	G407-E3200	G407-S498	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	octheol	O+CH+T+E+OL	Weiter: nimm den Wert und stelle den Wert ein; zur Ausführung; auf Grad I.	Weiter: nimm den Stationswert und stelle den Stationswert ein; zur Ausführung; auf Grad I.	Weiter entnimm den Stationswert [wie zuvor] und stelle den Stationswert [wie zuvor] ein; als Ausführung und auf Grad I.	YES	NO	1	GDT567-A13	GDT565-O03	GDT565-T081	1:O=zur Ausführung | 2:CH=nehmen | 3:T=einstellen | 4:E=auf Grad I | 5:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1060	G407-E3202	G407-S498	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	ldy	L+DY	Gib den Posten; über die Verbindung; abschließen.	Gib den Stationsposten; über die sichtbare Verbindung; schließe den Schritt.	Im laufenden Gang führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; schließe den Schritt.	YES	NO	3	GDT567-A12|GDT567-A33|GDT567-A39	GDT565-O01	GDT565-T024	1:L=über die Verbindung | 2:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1061	G407-E3203	G407-S499	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	oteey	OT+EE+Y	Danach: gib den Posten; auf Grad II.	Danach: gib den Stationsposten; auf Grad II.	Danach im laufenden Gang führe den Stationsposten zu; auf Grad II.	YES	NO	1	GDT567-A12	GDT565-O03	GDT565-T127	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1062	G407-E3207	G407-S499	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	sol	OL	Weiter: setze den Posten.	Weiter: setze den Stationsposten.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1063	G407-E3209	G407-S499	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qokeedy	OK+EE+DY	Setze den Posten; auf Grad II; abschließen.	Setze den Stationsposten; auf Grad II; schließe den Schritt.	Setze den Stationsposten [wie zuvor] im Stationsgang an; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:OK=setzen | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1064	G407-E3211	G407-S500	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	cthol	CH+T+OL	Weiter: nimm den Posten und stelle den Posten ein.	Weiter: nimm den Stationsposten und stelle den Stationsposten ein.	Weiter entnimm den Stationsposten [wie zuvor] und stelle den Stationsposten [wie zuvor] ein.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T094	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1065	G407-E3213	G407-S500	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qoteedy	OT+EE+DY	Danach: bearbeite den Posten; auf Grad II; abschließen.	Danach: bearbeite den Stationsposten; auf Grad II; schließe den Schritt.	Danach im laufenden Gang bearbeite den Stationsposten [wie zuvor]; auf Grad II; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O04	GDT565-T157	1:OT=danach | 2:EE=auf Grad II | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1066	G407-E3216	G407-S501	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	shedy	SH+E+DY	Halte den Posten; auf Grad I; abschließen.	Halte den Stationsposten; auf Grad I; schließe den Schritt.	Halte den Stationsposten [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A12|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1067	G407-E3217	G407-S502	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qol	OL	Weiter: halte den Posten.	Weiter: halte den Stationsposten.	Weiter im laufenden Gang halte den Stationsposten [wie zuvor].	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1068	G407-E3222	G407-S502	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	qotaiin	OT+AIIN	Danach: gib den Wert.	Danach: gib den Stationswert.	Danach im laufenden Gang führe den Stationswert zu.	YES	NO	1	GDT567-A13	GDT565-O05	GDT565-T139	1:OT=danach | 2:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1069	G407-E3223	G407-S502	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	chedol	CHD+OL	Weiter: bearbeite den Wert.	Weiter: bearbeite den Stationswert.	Weiter bearbeite den Stationswert [wie zuvor].	YES	NO	1	GDT567-A13	GDT565-O05	GDT565-T072	1:CHD=bearbeiten | 2:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1070	G407-E3224	G407-S502	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	dshedy	SH+E+DY	Halte den Wert; auf Grad I; abschließen.	Halte den Stationswert; auf Grad I; schließe den Schritt.	Halte den Stationswert [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A13|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1071	G407-E3225	G407-S503	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	sotaiin	S+OT+AIIN	Danach: wähle den Wert.	Danach: wähle den Stationswert.	Danach wähle den Stationswert.	YES	NO	1	GDT567-A13	GDT565-O05	GDT565-T139	1:S=wählen | 2:OT=danach | 3:AIIN=den Wert	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1072	G407-E3227	G407-S503	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	shedy	SH+E+DY	Halte den Wert; auf Grad I; abschließen.	Halte den Stationswert; auf Grad I; schließe den Schritt.	Halte den Stationswert [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A13|GDT567-A39	GDT565-O01	GDT565-T012	1:SH=halten | 2:E=auf Grad I | 3:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1073	G407-E3228	G407-S504	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	solshedy	OL+SH+E+DY	Weiter: halte den Wert; auf Grad I; abschließen.	Weiter: halte den Stationswert; auf Grad I; schließe den Schritt.	Weiter halte den Stationswert [wie zuvor]; auf Grad I; schließe den Schritt.	YES	NO	2	GDT567-A13|GDT567-A39	GDT565-O04	GDT565-T107	1:OL=weiter | 2:SH=halten | 3:E=auf Grad I | 4:DY=abschließen	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
1074	G407-E3231	G407-S505	f82r	BIOLOGICAL	mehrere getrennte Bad- und Leitungsstationen	ls	OL	Weiter: setze den Posten.	Weiter: setze den Stationsposten.	Weiter im laufenden Gang setze den Stationsposten [wie zuvor] im Stationsgang an.	YES	NO	1	GDT567-A12	GDT565-O05	GDT565-T072	1:OL=weiter	EVENT_RECIPE_AND_ROOTS_UNCHANGED__OWNER_VOICE_RENDERING_SEPARATE
